house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
65;96772;69776;178128;36008A091
490;83818;59925;181517;36015A59-
2;83652;63915;182676;36015A111
37;96602;68862;178398;36008A021
27;96485;67848;178595;36008A32-
49;101678;60632;171639;36012B021
31;101680;60787;171108;36012B090
39;101748;60835;172074;36012B021
61;96477;67542;179516;36008A200
97;83878;63836;181663;36015A20-
3;84177;61833;183616;36015A610
26;83856;63270;184932;36015A711
15;83719;62865;186592;36015A790
10;81798;63436;190771;36011A021
38;83605;61575;181224;36015A401
288;84301;62208;180979;36015A432
221;83999;62027;183157;36015A83-
29;96522;68048;178076;36008A301
17;98526;65909;174526;36010C032
7;84084;61242;181476;36015A510
123;83892;63382;181336;36015A20-
102;84075;62802;181162;36015A301
3;101010;70938;180248;36007A053
10;87704;59870;185122;36006A091
31;84148;63633;185290;36015A701
11;83685;61105;181695;36015A510
39;96624;68403;178001;36008A332
65;84251;62801;181732;36015A20-
152;96765;69308;179841;36008A51-
3;84139;63897;185745;36015A790
75;96652;68750;178824;36008A021
60;98553;61408;173183;36010A03-
70;89803;57937;184221;36019B19-
5;83628;62256;182887;36015A03-
9;100942;71591;179729;36007A001
21;96753;68376;178584;36008A03-
42;96605;68992;179731;36008A07-
40;84247;63917;182521;36015A132
18;84216;62527;183967;36015A60-
53;100932;72060;180310;36007A03-
13;101717;59597;173304;36012A19-
148;83794;63085;183426;36015A143
29;83792;62196;183246;36015A822
17;96672;67728;179472;36008A200
80;84277;63633;184323;36015A790
123;98490;66642;173926;36010C01-
135;96496;68253;181418;36008A59-
533;84253;64683;181432;36015C414
38;101720;60603;171786;36012B021
37;101017;72630;180003;36007A0PA
28;98499;66595;174476;36010C001
29;96571;68748;179049;36008A021
33;84025;63750;185411;36015A701
70;84103;63319;182488;36015A122
36;96606;68299;181716;36008A59-
383;83584;62275;184750;36015A679
115;96745;66667;177353;36008A382
158;101806;61379;171649;36012B010
5;89833;54391;185912;36019A022
24;87641;56500;186467;36006A091
2;84104;64689;178685;36015B091
132;84125;62778;183508;36015A811
20;100953;71838;179437;36007A042
56;96702;69702;179084;36008A101
83;96703;66745;178639;36008A41-
12;96599;69086;178113;36008A612
23;87614;60879;188143;36006B000
