cd_munty_refnis;cd_munty_refnis_voisin
11001;11002
11001;11013
11001;11018
11001;11024
11001;11030
11001;11037
11001;11038
11002;11001
11002;11007
11002;11008
11002;11013
11002;11018
11002;11023
11002;11029
11002;11040
11002;11044
11002;11050
11002;11052
11002;11056
11002;46003
11002;46013
11004;11007
11004;11021
11004;11025
11004;11029
11004;11035
11004;11052
11004;12021
11005;11030
11005;11037
11005;12040
11005;12041
11007;11002
11007;11004
11007;11029
11007;11052
11008;11002
11008;11009
11008;11023
11008;11040
11008;11053
11009;11008
11009;11039
11009;11040
11009;11053
11009;11055
11009;11057
11009;13014
11009;13037
11013;11001
11013;11002
11013;11021
11013;11024
11013;11029
11016;11022
11018;11001
11018;11002
11018;11038
11018;46013
11021;11004
11021;11013
11021;11024
11021;11025
11021;11029
11022;11016
11022;11023
11022;11053
11023;11002
11023;11008
11023;11022
11023;11044
11023;11053
11024;11001
11024;11013
11024;11021
11024;11025
11024;11037
11024;12009
11025;11004
11025;11021
11025;11024
11025;12009
11025;12021
11029;11002
11029;11004
11029;11007
11029;11013
11029;11021
11030;11001
11030;11005
11030;11037
11030;11038
11030;12007
11030;12041
11035;11004
11035;11039
11035;11052
11035;11054
11035;11055
11035;12021
11035;12026
11037;11001
11037;11005
11037;11024
11037;11030
11037;12009
11037;12025
11037;12035
11037;12040
11038;11001
11038;11018
11038;11030
11038;12007
11038;46013
11039;11009
11039;11035
11039;11040
11039;11050
11039;11052
11039;11055
11040;11002
11040;11008
11040;11009
11040;11039
11040;11050
11044;11002
11044;11023
11050;11002
11050;11039
11050;11040
11050;11052
11052;11002
11052;11004
11052;11007
11052;11035
11052;11039
11052;11050
11053;11008
11053;11009
11053;11022
11053;11023
11053;13014
11054;11035
11054;11055
11054;12026
11054;13010
11054;13044
11055;11009
11055;11035
11055;11039
11055;11054
11055;11057
11055;13044
11056;11002
11056;46003
11056;46013
11057;11009
11057;11055
11057;13004
11057;13019
11057;13037
11057;13044
12002;12014
12002;12021
12002;12026
12002;12029
12005;12025
12005;12029
12005;12035
12005;24014
12005;24033
12005;24048
12007;11030
12007;11038
12007;12041
12007;42008
12007;46013
12007;46025
12009;11024
12009;11025
12009;11037
12009;12021
12009;12035
12014;12002
12014;12026
12014;12029
12014;13011
12014;13012
12014;13016
12014;13049
12014;24007
12014;24048
12014;24109
12021;11004
12021;11025
12021;11035
12021;12002
12021;12009
12021;12026
12021;12029
12021;12035
12025;11037
12025;12005
12025;12035
12025;12040
12025;23039
12025;23088-23096
12025;24014
12026;11035
12026;11054
12026;12002
12026;12014
12026;12021
12026;13010
12026;13012
12029;12002
12029;12005
12029;12014
12029;12021
12029;12035
12029;24048
12035;11037
12035;12005
12035;12009
12035;12021
12035;12025
12035;12029
12040;11005
12040;11037
12040;12025
12040;12041
12040;23039
12040;23045
12041;11005
12041;11030
12041;12007
12041;12040
12041;23039
12041;23045
12041;42004
12041;42008
13001;13025
13001;13031
13001;13035
13001;13036
13002;13014
13002;13023
13002;13035
13002;13040
13003;13021
13003;13025
13003;71034
13003;71069
13003;72020
13003;72038
13004;11057
13004;13019
13004;13023
13004;13037
13004;13040
13004;13046
13006;13025
13006;13036
13008;13013
13008;13017
13008;13021
13008;13025
13008;13029
13008;13036
13008;13049
13008;13053
13010;11054
13010;12026
13010;13011
13010;13012
13010;13044
13011;12014
13011;13010
13011;13012
13011;13017
13011;13019
13011;13029
13011;13044
13011;13049
13012;12014
13012;12026
13012;13010
13012;13011
13013;13008
13013;13016
13013;13049
13013;13053
13013;24001
13013;24007
13013;24134
13014;11009
13014;11053
13014;13002
13014;13023
13014;13037
13016;12014
13016;13013
13016;13049
13016;24007
13017;13008
13017;13011
13017;13019
13017;13029
13017;13031
13017;13036
13017;13040
13017;13046
13019;11057
13019;13004
13019;13011
13019;13017
13019;13044
13019;13046
13021;13003
13021;13008
13021;13025
13021;13053
13021;71069
13023;13002
13023;13004
13023;13014
13023;13037
13023;13040
13025;13001
13025;13003
13025;13006
13025;13008
13025;13021
13025;13036
13025;72020
13029;13008
13029;13011
13029;13017
13029;13049
13031;13001
13031;13017
13031;13035
13031;13036
13031;13040
13035;13001
13035;13002
13035;13031
13035;13040
13036;13001
13036;13006
13036;13008
13036;13017
13036;13025
13036;13031
13037;11009
13037;11057
13037;13004
13037;13014
13037;13023
13040;13002
13040;13004
13040;13017
13040;13023
13040;13031
13040;13035
13040;13046
13044;11054
13044;11055
13044;11057
13044;13010
13044;13011
13044;13019
13046;13004
13046;13017
13046;13019
13046;13040
13049;12014
13049;13008
13049;13011
13049;13013
13049;13016
13049;13029
13053;13008
13053;13013
13053;13021
13053;24134
13053;71057
13053;71069
21001;21004-21005-21009
21001;21007
21001;21012
21001;21013
21001;23016
21001;23077
21001;23098
21002;21004-21005-21009
21002;21017
21002;21019
21002;23062
21002;24104
21003;21008
21003;21011
21003;21012
21003;23002
21003;23016
21004-21005-21009;21001
21004-21005-21009;21002
21004-21005-21009;21006
21004-21005-21009;21007
21004-21005-21009;21010
21004-21005-21009;21012
21004-21005-21009;21013
21004-21005-21009;21014
21004-21005-21009;21015
21004-21005-21009;21016
21004-21005-21009;21017
21004-21005-21009;21018
21004-21005-21009;21019
21004-21005-21009;23025
21004-21005-21009;23047
21004-21005-21009;23088-23096
21004-21005-21009;23094
21004-21005-21009;23102
21006;21004-21005-21009
21006;21015
21006;21018
21006;23094
21007;21001
21007;21004-21005-21009
21007;21013
21007;21016
21007;23098
21008;21003
21008;21010
21008;21011
21008;23002
21010;21004-21005-21009
21010;21008
21010;21011
21010;21012
21010;23002
21010;23102
21011;21003
21011;21008
21011;21010
21011;21012
21012;21001
21012;21003
21012;21004-21005-21009
21012;21010
21012;21011
21012;23016
21013;21001
21013;21004-21005-21009
21013;21007
21014;21004-21005-21009
21014;21015
21015;21004-21005-21009
21015;21006
21015;21014
21015;21018
21016;21004-21005-21009
21016;21007
21016;21017
21016;23098
21016;23100
21016;23101
21017;21002
21017;21004-21005-21009
21017;21016
21017;23033
21017;23062
21017;23101
21018;21004-21005-21009
21018;21006
21018;21015
21018;21019
21018;23094
21018;23099
21019;21002
21019;21004-21005-21009
21019;21018
21019;23099
21019;24104
23002;21003
23002;21008
23002;21010
23002;23016
23002;23052
23002;23060
23002;23086
23002;23102
23002;23105
23002;41002
23003;23027
23003;23077
23003;23098
23003;23100
23003;23101
23003;25014
23009;23023
23009;23032
23009;41018
23009;51068
23009;51069
23016;21001
23016;21003
23016;21012
23016;23002
23016;23077
23016;23086
23016;23104
23023;23009
23023;23024
23023;23032
23023;41018
23023;41048
23024;23023
23024;23032
23024;23064
23024;23097
23024;23104
23024;41048
23025;21004-21005-21009
23025;23039
23025;23050
23025;23088-23096
23025;23102
23027;23003
23027;23064
23027;23077
23027;25014
23027;25015
23027;25105
23032;23009
23032;23023
23032;23024
23032;23064
23032;51067
23032;51068
23033;21017
23033;23062
23033;23101
23033;25050
23033;25110
23038;23081
23038;23088-23096
23038;24014
23038;24033
23038;24038
23038;24055
23039;12025
23039;12040
23039;12041
23039;23025
23039;23045
23039;23050
23039;23088-23096
23044;23086
23044;23097
23044;23105
23044;41011
23044;41048
23045;12040
23045;12041
23045;23039
23045;23050
23045;23052
23045;42004
23047;21004-21005-21009
23047;23081
23047;23088-23096
23047;23094
23050;23025
23050;23039
23050;23045
23050;23052
23050;23102
23052;23002
23052;23045
23052;23050
23052;23060
23052;23102
23052;42004
23060;23002
23060;23052
23060;41002
23060;42004
23060;42011
23062;21002
23062;21017
23062;23033
23062;24045
23062;24104
23062;25050
23062;25091
23062;25112
23064;23024
23064;23027
23064;23032
23064;23077
23064;23104
23064;25105
23064;25123
23064;51067
23077;21001
23077;23003
23077;23016
23077;23027
23077;23064
23077;23098
23077;23104
23081;23038
23081;23047
23081;23088-23096
23081;23094
23081;24055
23086;23002
23086;23016
23086;23044
23086;23097
23086;23104
23086;23105
23088-23096;12025
23088-23096;21004-21005-21009
23088-23096;23025
23088-23096;23038
23088-23096;23039
23088-23096;23047
23088-23096;23081
23088-23096;24014
23094;21004-21005-21009
23094;21006
23094;21018
23094;23047
23094;23081
23094;23099
23094;23103
23094;24055
23094;24104
23097;23024
23097;23044
23097;23086
23097;23104
23097;41048
23098;21001
23098;21007
23098;21016
23098;23003
23098;23077
23098;23100
23099;21018
23099;21019
23099;23094
23099;23103
23099;24104
23100;21016
23100;23003
23100;23098
23100;23101
23101;21016
23101;21017
23101;23003
23101;23033
23101;23100
23101;25014
23101;25110
23102;21004-21005-21009
23102;21010
23102;23002
23102;23025
23102;23050
23102;23052
23103;23094
23103;23099
23103;24104
23104;23016
23104;23024
23104;23064
23104;23077
23104;23086
23104;23097
23105;23002
23105;23044
23105;23086
23105;41002
23105;41011
24001;13013
24001;24007
24001;24008
24001;24043
24001;24094
24001;24134
24001;24135
24007;12014
24007;13013
24007;13016
24007;24001
24007;24094
24007;24109
24008;24001
24008;24020
24008;24054
24008;24134
24008;24135
24008;24137
24008;71020
24009;24038
24009;24045
24009;24055
24009;24062
24009;24086
24009;24104
24011;24016
24011;24062
24011;24066
24011;24086
24011;25005
24011;25037
24014;12005
24014;12025
24014;23038
24014;23088-23096
24014;24033
24016;24011
24016;24041
24016;24066
24016;24107
24016;25005
24020;24008
24020;24134
24020;71004
24020;71020
24020;71037
24020;71057
24028;24054
24028;24130
24028;71020
24028;71024
24028;71045
24028;71053
24033;12005
24033;23038
24033;24014
24033;24038
24033;24048
24033;24062
24033;24094
24033;24109
24038;23038
24038;24009
24038;24033
24038;24055
24038;24062
24041;24016
24041;24107
24041;25005
24041;25048
24041;25118
24043;24001
24043;24062
24043;24066
24043;24094
24043;24135
24045;23062
24045;24009
24045;24086
24045;24104
24045;25037
24045;25112
24048;12005
24048;12014
24048;12029
24048;24033
24048;24109
24054;24008
24054;24028
24054;24107
24054;24130
24054;24133
24054;24137
24054;71020
24055;23038
24055;23081
