postcode;arrond;Region
1000;21;Bruxelles
1020;21;Bruxelles
1030;21;Bruxelles
1040;21;Bruxelles
1050;21;Bruxelles
1060;21;Bruxelles
1070;21;Bruxelles
1080;21;Bruxelles
1081;21;Bruxelles
1082;21;Bruxelles
1083;21;Bruxelles
1090;21;Bruxelles
1120;21;Bruxelles
1130;21;Bruxelles
1140;21;Bruxelles
1150;21;Bruxelles
1160;21;Bruxelles
1170;21;Bruxelles
1180;21;Bruxelles
1190;21;Bruxelles
1200;21;Bruxelles
1210;21;Bruxelles
1300;25;Wallonie
1301;25;Wallonie
1310;25;Wallonie
1315;25;Wallonie
1320;25;Wallonie
1325;25;Wallonie
1330;25;Wallonie
1331;25;Wallonie
1332;25;Wallonie
1340;25;Wallonie
1341;25;Wallonie
1342;25;Wallonie
1348;25;Wallonie
1350;25;Wallonie
1357;25;Wallonie
1360;25;Wallonie
1367;25;Wallonie
1370;25;Wallonie
1380;25;Wallonie
1390;25;Wallonie
1400;25;Wallonie
1401;25;Wallonie
1402;25;Wallonie
1404;25;Wallonie
1410;25;Wallonie
1420;25;Wallonie
1421;25;Wallonie
1428;25;Wallonie
1430;25;Wallonie
1435;25;Wallonie
1440;25;Wallonie
1450;25;Wallonie
1457;25;Wallonie
1460;25;Wallonie
1461;25;Wallonie
1470;25;Wallonie
1471;25;Wallonie
1472;25;Wallonie
1473;25;Wallonie
1474;25;Wallonie
1476;25;Wallonie
1480;25;Wallonie
1490;25;Wallonie
1495;25;Wallonie
1500;23;Flandre
1501;23;Flandre
1502;23;Flandre
1540;23;Flandre
1541;23;Flandre
1547;23;Flandre
1560;23;Flandre
1570;23;Flandre
1600;23;Flandre
1601;23;Flandre
1602;23;Flandre
1620;23;Flandre
1630;23;Flandre
1640;23;Flandre
1650;23;Flandre
1651;23;Flandre
1652;23;Flandre
1653;23;Flandre
1654;23;Flandre
1670;23;Flandre
1671;23;Flandre
1673;23;Flandre
1674;23;Flandre
1700;23;Flandre
1701;23;Flandre
1702;23;Flandre
1703;23;Flandre
1730;23;Flandre
1731;23;Flandre
1740;23;Flandre
1741;23;Flandre
1742;23;Flandre
1745;23;Flandre
1750;23;Flandre
1755;23;Flandre
1760;23;Flandre
1761;23;Flandre
1770;23;Flandre
1780;23;Flandre
1785;23;Flandre
1790;23;Flandre
1800;23;Flandre
1804;23;Flandre
1820;23;Flandre
1830;23;Flandre
1831;23;Flandre
1840;23;Flandre
1850;23;Flandre
1851;23;Flandre
1852;23;Flandre
1853;23;Flandre
1860;23;Flandre
1861;23;Flandre
1880;23;Flandre
1910;23;Flandre
1930;23;Flandre
1931;23;Flandre
1932;23;Flandre
1933;23;Flandre
1950;23;Flandre
1970;23;Flandre
1980;23;Flandre
1981;23;Flandre
1982;23;Flandre
2000;11;Flandre
2018;11;Flandre
2020;11;Flandre
2030;11;Flandre
2040;11;Flandre
2050;11;Flandre
2060;11;Flandre
2070;11;Flandre
2100;11;Flandre
2110;11;Flandre
2140;11;Flandre
2150;11;Flandre
2160;11;Flandre
2170;11;Flandre
2180;11;Flandre
2200;13;Flandre
2220;12;Flandre
2221;12;Flandre
2222;12;Flandre
2223;12;Flandre
2230;13;Flandre
2235;13;Flandre
2240;11;Flandre
2242;11;Flandre
2243;11;Flandre
2250;13;Flandre
2260;13;Flandre
2270;13;Flandre
2275;13;Flandre
2280;13;Flandre
2288;13;Flandre
2290;13;Flandre
2300;13;Flandre
2310;13;Flandre
2320;13;Flandre
2321;13;Flandre
2322;13;Flandre
2323;13;Flandre
2328;13;Flandre
2330;13;Flandre
2340;13;Flandre
2350;13;Flandre
2360;13;Flandre
2370;13;Flandre
2380;13;Flandre
2381;13;Flandre
2382;13;Flandre
2387;13;Flandre
2390;11;Flandre
2400;13;Flandre
2430;13;Flandre
2431;13;Flandre
2440;13;Flandre
2450;13;Flandre
2460;13;Flandre
2470;13;Flandre
2480;13;Flandre
2490;13;Flandre
